SERIES_ID,SUB_CATEGORY,TITLE,GENRE,SERIES_RATING,SEASON_NUM,SERIES_OVERVIEW,CAST,CREW,LOGO,POSTER,TRAILER
496,시리즈,Family Ties,"Comedy, Drama, Family",12,7,"Former 1960s flower children Steven and Elyse Keaton raise their conservative son Alex, daughters Mallory and Jennifer, and later, youngest child Andrew.","Meredith Baxter, Michael Gross, Michael J. Fox","Lloyd Garver, Gary David Goldberg, Gary David Goldberg",https://image.tmdb.org/t/p/original/gq0NEOo3W05vn3tfPL2M4cuu2q7.png,https://image.tmdb.org/t/p/original/3JVBzBToscU4uCyA67piI1RNarz.jpg,https://www.youtube.com/watch?v=None
517,시리즈,The Ultimate Fighter: Team McGregor vs. Team Chandler,Reality,,31,"The Ultimate Fighter is an American reality television series and mixed martial arts (MMA) competition produced by the Ultimate Fighting Championship (UFC) and Pilgrim Media Group currently airing on ESPN+. It previously aired for fourteen seasons on Spike TV. The show features professional MMA fighters living together in Las Vegas, Nevada, and follows them as they train and compete against each other for a prized six-figure contract with the UFC. The series debuted on January 17, 2005.","Dana White, Conor McGregor, Michael Chandler",,https://image.tmdb.org/t/p/original/6JrkjcJPyrOiO89VTNJTFKn1AzI.png,https://image.tmdb.org/t/p/original/k3NlkqDeYmKTsx7QIQWjXXo0DeW.jpg,https://www.youtube.com/watch?v=None
549,시리즈,로 앤 오더,"범죄, 드라마",19,23,추악한 성범죄자를 쫓아 사건을 해결하는 특별수사단의 통쾌한 활약을 그린 수사시리즈,"샘 워터스턴, Hugh Dancy, Odelya Halevi","David Shore, William M. Finkelstein, Arthur Penn",https://image.tmdb.org/t/p/original/uj8ohBxXBujyOASLEEPBwhI9FdH.png,https://image.tmdb.org/t/p/original/m9zTQr4TYS98UFSiA1k0mMfECPe.jpg,https://www.youtube.com/watch?v=RzN8cPlcMTU
605,시리즈,"Sabrina, the Teenage Witch","Comedy, Family, Sci-Fi & Fantasy, Kids",12,7,"On her sixteenth birthday, Sabrina Spellman discovers she has magical powers. She lives with her 600-year-old aunts Hilda and Zelda as well as talking cat Salem in the fictional town of Westbridge, Massachusetts.","Melissa Joan Hart, Elisa Donovan, Soleil Moon Frye","Paula Hart, Nick Bakay",https://image.tmdb.org/t/p/original/a0L2oBoJAY1uEFl05QpE3001R5g.png,https://image.tmdb.org/t/p/original/yGuzsFLr9s4kr9H7NbgrFiaIfUc.jpg,https://www.youtube.com/watch?v=LwwSOH6dWUw
655,시리즈,스타 트렉: 넥스트 제너레이션,"Sci-Fi & Fantasy, Action & Adventure, 드라마, 미스터리",12,7,"배경은 ""오리지널 시리즈""로부터 대략 100년 후로 설정되어 있으며, 2363년 10월 4일 새롭게 취역한 엔터프라이즈-D와 장 뤽 피카드 함장이 출연한다. 본 시리즈에서는 또한 베타조이드 혼혈인 디애나 트로이와 스타플릿 최초의 클링온 장교인 워프 등과 같은 외계 종족의 승무원이 등장하였다. 1987년 9월 28에 시작하여 1994년 5월 23일을 끝으로 7 시즌간 방영되었다. 이전 시리즈와는 달리, 네트워크 방송사에 공중파로 방송되지 않고 프로그램이 배급되었다. 《스타 트렉》의 다른 어떤 시리즈보다 호평을 받았으며, 방송 후반부에는 배급률 1위를 차지하였다. 최종 시즌은 에미상 최고 드라마 시리즈 부분의 수상 후보로 거명되었다. “The Big Good-bye”화는 우수 TV 프로그램 부분 피보디상을 수여받았다.","패트릭 스튜어트, Jonathan Frakes, Brent Spiner","Rick Berman, Jeri Taylor, Brannon Braga",https://image.tmdb.org/t/p/original/9IuUU8a7brKkVjK77afeBww7yUK.png,https://image.tmdb.org/t/p/original/vkLzXddgUKH5VcpnYiRzpJFrZhz.jpg,https://www.youtube.com/watch?v=VKjwh9N5O4Q
688,시리즈,웨스트 윙,드라마,12,7,"1999년에 시작된 '웨스트 윙 시리즈'는 미국 정치의 중심인 백악관에 펼쳐지는 다양한 정치적 실체를 드라마로 재구성하여 현재까지 소비자들의 많은 사랑을 받고 있다. 시즌 1부터 4까지 에미상에서 TV 드라마 부문 최우수작품상을 연속 수상했던, 미드 정치드라마의 표본.","마틴 쉰, 앨리슨 제니, Richard Schiff","Thomas Schlamme, 아론 소킨, Alex Graves",https://image.tmdb.org/t/p/original/43zQoHS1Ku4qIonyIlglCXnFaGB.png,https://image.tmdb.org/t/p/original/yqDWr5NAE7m1IWrygYwLyEB6pN0.jpg,https://www.youtube.com/watch?v=S1-ip47WYWc
720,시리즈,욕심쟁이 오리아저씨,"가족, 애니메이션, 미스터리, Sci-Fi & Fantasy, 코미디",6,4,"디즈니 캐릭터인 스크루지 맥덕과 도날드 덕의 세 조카 휴이,듀이,루이가 주인공으로 그들의 모험과 가족애를 그린 작품","Alan Young, Russi Taylor, Terence McGovern","Mark Mueller, Ron Jones, Jeff Pescetto",https://image.tmdb.org/t/p/original/rx0din6FtPgTy5ZRAI2JuOCH283.png,https://image.tmdb.org/t/p/original/muplnM90daPCQ5Bn1olcwN1EO22.jpg,https://www.youtube.com/watch?v=nqZ_Cb2slBw
764,시리즈,Midsomer Murders,"Crime, Drama, Mystery",12,24,"The peacefulness of the Midsomer community is shattered by violent crimes, suspects are placed under suspicion, and it is up to a veteran DCI and his young sergeant to calmly and diligently eliminate the innocent and ruthlessly pursue the guilty. ","Neil Dudgeon, Nick Hendrix, Fiona Dolman","Kirsten Gair, Caroline Graham, Jim Parker",https://image.tmdb.org/t/p/original/m2Jiqj8b4OjkjBHfp2px8gucB4h.png,https://image.tmdb.org/t/p/original/pz7tsWxe0TTdfJnWPjZAEnrSl5M.jpg,https://www.youtube.com/watch?v=ym8b4UJDqcw
790,시리즈,아가사 크리스티 - 명탐정 포와로,"범죄, 드라마, 미스터리",15,13,"미스터리 추리 소설의 여왕, 아가사 크리스티의 작품을 영상화한 시리즈. 멋진 콧수염이 트레이드 마크인 벨기에 출신의 명탐정 에르큘 포와로가 미궁에 빠진 사건들을 해결한다.",David Suchet,"Nick Elliott, Brian Eastman, Agatha Christie",https://image.tmdb.org/t/p/original/g3gtnZthA2Pg3wAASsNcMn5HivZ.png,https://image.tmdb.org/t/p/original/6f4IVfbn8knb7RjdZlGLuW5guDc.jpg,https://www.youtube.com/watch?v=_4ypEmJlfn8
799,시리즈,셜록 홈즈,"범죄, 드라마, 미스터리",,7,"《셜록 홈즈》(영어: Sherlock Holmes)는 영국 그라나다 TV가 제작한 텔레비전 드라마이다. 1984년부터 1994년까지 10년 동안 방영됐다. 원작자 아서 코난 도일은 셜록 홈즈 시리즈를 60편 썼는데 이중 42편이 드라마로 제작됐다. 주인공 셜록 홈즈는 배우 제레미 브렛이 맡았고, 셜록의 파트너 닥터 왓슨은 데이비드 버크가 맡았다가 에드워드 하드위크로 교체됐다.","Jeremy Brett, Edward Hardwicke, Rosalie Williams","Michael Cox, Arthur Conan Doyle",https://image.tmdb.org/t/p/original/wLYUSvuk295W3jE1yAJPtcdp6Gx.png,https://image.tmdb.org/t/p/original/thC0OuUvfGbOcoJ3aY5L4vlO6lA.jpg,https://www.youtube.com/watch?v=LMAroBYfJxs
873,시리즈,형사 콜롬보,"범죄, 드라마, 미스터리",12,10,"후줄근한 옷차림에 의미 없는 잡담을 늘어 놓다가, 날카로운 질문으로 간담을 서늘하게 만드는 LA 경찰청의 형사 콜롬보. 드라마 도입부에 살인범이 먼저 밝혀지고, 범인의 완벽한 계획 범죄가 콜롬보에 의해 밝혀지며 사건이 해결되는 형식의 형사 추리물",Peter Falk,"Peter Falk, Dean Hargrove, Edward K. Dodds",https://image.tmdb.org/t/p/original/vzVpuWWpJN3fuUfvj5P80GypNhj.png,https://image.tmdb.org/t/p/original/2JCD8vab3fircOU8cM2HJCxfv4I.jpg,https://www.youtube.com/watch?v=8ZOHmz3bfAI
897,시리즈,The Grim Adventures of Billy and Mandy,"Animation, Comedy, Kids",6,7,"The exploits of the Grim Reaper, who has been forced into being the best friend of two children. A spin-off of the show Grim & Evil.","Greg Eagles, Richard Steven Horvitz, Grey DeLisle","Brian A. Miller, Gregory Hinde, Drew Neumann",https://image.tmdb.org/t/p/original/ex2LTjHjs37GPgwCsYwZKzKbwrs.png,https://image.tmdb.org/t/p/original/dctpxTH60v3HWb18Aol5x9HccYv.jpg,https://www.youtube.com/watch?v=xismimhiYNM
918,시리즈,M*A*S*H,"War & Politics, Drama, Comedy",12,11,"The 4077th Mobile Army Surgical Hospital is stuck in the middle of the Korean war. With little help from the circumstances they find themselves in, they are forced to make their own fun. Fond of practical jokes and revenge, the doctors, nurses, administrators, and soldiers often find ways of making wartime life bearable.","Alan Alda, Mike Farrell, Harry Morgan","Gene Reynolds, Burt Metcalfe, Jim Mulligan",https://image.tmdb.org/t/p/original/nzYnF6fKmYQrsVQ13wXP59cUz1T.png,https://image.tmdb.org/t/p/original/6rhuM3oMoEWKxAdrm7IyM8oq8cC.jpg,https://www.youtube.com/watch?v=QGHFJVJTjkI
1018,시리즈,Bonanza,"Western, Action & Adventure, Drama, Family",12,14,The High-Sierra adventures of Ben Cartwright and his sons as they run and defend their ranch while helping the surrounding community.,"Lorne Greene, Michael Landon, David Canary",Bobby Somers,https://image.tmdb.org/t/p/original/x2kh7p8hs0MBeDdigHG0cYLDJPn.png,https://image.tmdb.org/t/p/original/y2jYBuTrC62hneBRs92LwxavMoV.jpg,https://www.youtube.com/watch?v=None
1100,시리즈,내가 그녀를 만났을 때,코미디,15,9,《내가 그녀를 만났을 때》는 미국 CBS에서 방영되었던 시트콤이다. 소울메이트를 찾기 위한 테드의 기나긴 여정. 어른이 된 테드가 아이들에게 아빠와 엄마가 만난 이야기를 들려주며 회상하는 장면들로 이뤄진다.,"Josh Radnor, 닐 패트릭 해리스, Jason Segel","Rachel Axler, Matt Kuhn, Barbie Adler",https://image.tmdb.org/t/p/original/1bYJhHks9QBfsLXmbdkwlSMSaBC.png,https://image.tmdb.org/t/p/original/b34jPzmB0wZy7EjUZoleXOl2RRI.jpg,https://www.youtube.com/watch?v=cjJLEYMzpjc
1215,시리즈,캘리포니케이션,"코미디, 드라마",19,7,"자기혐오적인 알콜중독자 작가가 자신의 섹스 중독과 약물 문제, 나쁜 결정만 하는 습관을 고치고, 하나뿐인 딸과 전처와의 관계 회복을 위해 노력하려 하는 모습을 그린다.","David Duchovny, 나타샤 맥켈혼, Evan Handler","Dorothy Street, Kent Cummins, Tim Bellen",https://image.tmdb.org/t/p/original/aYpca4XMaRvh5HPaXiubOb6JydE.svg,https://image.tmdb.org/t/p/original/jPqOY8cq9KXQN4bD7zJGHCNvcb4.jpg,https://www.youtube.com/watch?v=gQ7yaQhXJAI
1338,시리즈,Alarm for Cobra 11: The Motorway Police,"Drama, Comedy, Action & Adventure",12,49,"A long-running German television series about a two-man team of highway police, originally set in Berlin and later in North Rhine-Westphalia.",,,,,https://www.youtube.com/watch?v=None
1396,시리즈,브레이킹 배드,"드라마, 범죄",19,5,2008년 1월 AMC에서 방영을 시작한 범죄 스릴러. Breaking Bad는 막가기를 뜻하는 미국 남부 지방의 속어이다. 한때 노벨화학상까지 바라 볼 정도로 뛰어난 과학자였던 고등학교 화학 교사 월터 화이트는 자신의 50세 생일 날에 폐암 3기 진단을 받는다. 어느 날 동서와 함께 마약 단속 현장을 참관한 그는 현장에서 달아나는 옛 제자 제시를 발견한다. 뇌성마비에 걸린 고등학생 아들과 임신한 아내를 위해 제시에게 동업을 제의한 월터는 자신의 화학지식을 이용해 전례없는 고순도 고품질의 메스암페타민을 제조한다.,"브라이언 크랜스턴, 아론 폴, 애나 건","Jennifer Bryan, Moira Walley-Beckett, Thomas Schnauz",https://image.tmdb.org/t/p/original/chw44B2VnLha8iiTdyZcIW0ZELC.png,https://image.tmdb.org/t/p/original/ztkUQFLlC19CCMYHW9o1zWhJRNq.jpg,https://www.youtube.com/watch?v=XZ8daibM3AE
1399,시리즈,왕좌의 게임,"Sci-Fi & Fantasy, 드라마, Action & Adventure",19,8,"2011년 4월 HBO에서 방영을 시작한 판타지물. 조지 R.R. 마틴의 얼음과 불의 노래를 원작으로 한다. 웨스테로스 대륙의 7개의 국가와 하위 몇 개의 국가들로 구성된 연맹 국가인 칠 왕국의 통치권, 철 왕좌를 차지하기 위한 싸움을 그려낸 드라마이다. 왕좌를 차지하기 위한 귀족 가문의 다툼 외에도 북부에 존재하는 미지의 위협인 백귀, 그리고 15년 전에 내전으로 인해 살해된 왕의 딸인 대너리스 타르가르옌이 자신이 추방당한 웨스테로스를 향해 왕권 회복을 도전하는 이야기가 함께 들어있다.","피터 딘클리지, 키트 해링턴, 니콜라이 코스테르발다우","Ben Shepherd, Brooke Lyndon-Stanford, Paul Zeke",https://image.tmdb.org/t/p/original/zTGSKzZktsPqzvd75KvByK5G54A.png,https://image.tmdb.org/t/p/original/1XS1oqL89opfnbLl8WnZY1O1uJx.jpg,https://www.youtube.com/watch?v=KPLWWIOCOOQ
1402,시리즈,워킹 데드,"Action & Adventure, 드라마, Sci-Fi & Fantasy",19,11,"2010년 10월 AMC에서 방영을 시작한 좀비 아포칼립스물. 조지아 주의 보안관 릭은 범인 검거 중에 총상을 입고 혼수상태에 빠진다. 어느 날 혼수 상태에서 깨어난 릭은 폐허가 되어 버린 세상이 좀비들로 뒤덮여 있는 것을 발견한다. 쇠약해진 몸으로 병원을 빠져나온 릭은 워커라고 불리는 좀비들을 피해 생존자를 찾아다니고, 마을의 생존자 모건 부자의 도움을 받아 건강을 회복한 후 아내 로리와 아들 칼을 찾으러 애틀랜타로 떠나지만, 릭을 반긴 것은 셀 수 없이 많은 워커 무리들. 간신히 전차 내부로 피신한 릭을 백화점에 숨어있던 생존자 일행이 도와서 겨우 전차에서 빠져나오는데...","로렌 코핸, 노먼 리더스, 제프리 딘 모건","Scott H. Eddo, Sherry Thomas, Sharon Bialy","https://image.tmdb.org/t/p/original/xPuaFKXslMmzDlrVyrOPFSOT0G8.png, https://image.tmdb.org/t/p/original/lbqbdmPDJe7kF9S7gTswDYdiQGw.png, https://image.tmdb.org/t/p/original/gBKWibjjvPImCLCGHRgrRK5pb8A.png, https://image.tmdb.org/t/p/original/xv8ZAzGNzeBMug1XPWsANJnUoFx.png",https://image.tmdb.org/t/p/original/nXzLSn04H4QyapOSwH76R3UE7Iw.jpg,https://www.youtube.com/watch?v=j-Pbosktc6o
1405,시리즈,덱스터,"범죄, 드라마, 미스터리",19,8,"2006년 10월 Showtime에서 방영을 시작한 심리 스릴러. 미국 마이에미 메트로 경찰서의 젊은 법의학자이자 마이애미에서 제일가는 혈흔분석가인 덱스터는, 사실 어릴때 겪은 참혹한 기억으로 혹은 자신의 표현대로라면 괴물 잡아먹는 괴물인 소시오패스로 법망을 피해 처벌받지 않은 범죄자들을 살해하는 연쇄 살인범이다. 경찰이었던 아버지의 가르침대로 자신의 본성을 숨기고 여동생 데브라와 함께 마이애미 메트로 경찰서에서 근무하던 어느 날, 온 몸의 피가 모조리 빠져나간 토막살인 시체가 발견되고, 덱스터는 이유는 알 수 없지만 이 사건에 끌리게 된다.","마이클 C. 홀, Jennifer Carpenter, Geoff Pierson","Robert Lloyd Lewis, Tim Schlattmann, Wendy West",https://image.tmdb.org/t/p/original/wn1pM2548zWm8qNWH3lLyf1NjXg.png,https://image.tmdb.org/t/p/original/q8dWfc4JwQuv3HayIZeO84jAXED.jpg,https://www.youtube.com/watch?v=YQeUmSD1c3g
1408,시리즈,하우스,"드라마, 미스터리",15,8,"2004년 11월 FOX에서 방영을 시작한 미스터리 의학 시리즈. 프린스턴 플레인즈보로 대학병원의 진단의학과 과장인 그레고리 하우스는 환자들을 성심성의껏 돌보는 데는 영 꽝인 의사. 사사건건 병원 원장인 리사 커디와 부딪히는 그는 못된 매너와 그 매너를 더욱 돋보이게 하는 외모로 유명하지만, 또한 창조적인 생각과 결점없는 의학적 본능을 유감없이 발휘하는 최고의 의사이기도 하다. 천재적인 분석능력을 갖춘 전염병 전문의로서 그가 이제 인명을 살리기 위한 흥미롭고 미스터리한 의학의 퍼즐을 풀어간다.","휴 로리, Robert Sean Leonard, Omar Epps","Peter Blake, Thomas L. Moran, Marcy G. Kaplan",https://image.tmdb.org/t/p/original/70mU0MFs8DK1TXCu2Q62YkO6C2D.png,https://image.tmdb.org/t/p/original/3Cz7ySOQJmqiuTdrc6CY0r65yDI.jpg,https://www.youtube.com/watch?v=MczMB8nU1sY
1411,시리즈,퍼슨 오브 인터레스트,"드라마, Action & Adventure, 범죄, Sci-Fi & Fantasy",16,5,"죽은것으로 알려진 전직 CIA 작전요원인 존 리스가 천만장자인 핀치를 만나 뉴욕시에서 개발한 강력 범죄가 일어나기전 미리 범인을 찾아내는 일을 시작한다. 핀치가 개발한 소프트웨어인 ""더 머신""이 범죄를 예측하면 존이 그 정보를 바탕으로 범죄를 저지를 인물 (Person of Interest)을 찾아 그들만의 방법으로 예방한다.","짐 커비즐, Michael Emerson, Kevin Chapman","Joshua Levey, Lucas O'Connor, Tony Camerino",https://image.tmdb.org/t/p/original/fMnD6iTWfrVWyQnKqPqTcPpy2iX.png,https://image.tmdb.org/t/p/original/6FuKOyJgViZXgMDOq9djFJLWPqX.jpg,https://www.youtube.com/watch?v=_xAK3ueOJxE
1412,시리즈,애로우,"범죄, 드라마, Action & Adventure",15,8,스탈링 시티의 잘나가는 재벌 2세 올리버 퀸은 아버지와 보트 여행에 나섰다가 태풍을 만나 난파를 당한다. 그는 5년 동안 외딴 섬에 표류되어 생존을 위한 처절한 사투를 벌이고 마침내 고향으로 돌아온다. 아버지의 유언에 따라 스탈링 시티의 엘리트 범죄자들을 사냥하기위해 스스로 자경단원을 자처하는 올리버퀸. 그러나 그의 앞날에는 그의 상상보다 더 큰 진실과 음모가 기다리고 있는데...,"Stephen Amell, David Ramsey, Katie Cassidy","Mark Bunting, Beth Schwartz, Marc Guggenheim",https://image.tmdb.org/t/p/original/jUu02PexmdU5xAeDYsv1huceChE.png,https://image.tmdb.org/t/p/original/gKG5QGz5Ngf8fgWpBsWtlg5L2SF.jpg,https://www.youtube.com/watch?v=qo6hU98dXOc
1413,시리즈,아메리칸 호러 스토리,"드라마, 미스터리, Sci-Fi & Fantasy",19,12,'공포'라는 주제로 시즌마다 다른 이야기를 풀어가는 앤솔로지 시리즈. 인간이 가지고 있는 사악한 근성을 탐구하는 동시에 인간이 느끼는 초자연적 두려움과 일상 속의 공포를 조명한다.,"엠마 로버츠, Matt Czuchry, 킴 카다시안","라이언 머피, Brad Falchuk",https://image.tmdb.org/t/p/original/aLaAPY6ht6pboynt3V2zdGfBCzi.png,https://image.tmdb.org/t/p/original/5LLG9bjq0i7V5N4UfRhnab8zHK4.jpg,https://www.youtube.com/watch?v=2c3VVJb562Y
1416,시리즈,그레이 아나토미,드라마,19,20,"시애틀에 있는 병원 의사들의 삶에 대한 이야기. 의사로서의 감정과 개인적인 감정에 대한 묘사가 적절히 조화를 이루어 그려진다. 인턴이지만 결국 레지던트가 되는 메러디스 그레이는 시애틀 병원의 동료 의사들과 함께 사적, 직업적인 열정에 휩쓸리는 자신을 발견한다.","엘렌 폼페오, Chandra Wilson, James Pickens Jr.",숀다 라임스,https://image.tmdb.org/t/p/original/keAZqhg9lmOHEhmG5njqIsuxf0f.png,https://image.tmdb.org/t/p/original/jcEl8SISNfGdlQFwLzeEtsjDvpw.jpg,https://www.youtube.com/watch?v=qbkEtYz9acA
1421,시리즈,모던 패밀리,코미디,15,11,에미상을 받은 이 시트콤은 로스앤젤레스에 사는 제이 프리쳇과 각양각색의 가족이 일상에서 수많은 난관을 만나고 해결해 나가는 이야기를 그린다.,"Ed O'Neill, 소피아 베르가라, 줄리 보언","Jeffrey Richman, Abraham Higginbotham, Jeffrey Morton",https://image.tmdb.org/t/p/original/rbKhglYrECjMZNYtT2QyihOQ5F.png,https://image.tmdb.org/t/p/original/klL4yhwiU8aF4AuF5dCfJA9sRnS.jpg,https://www.youtube.com/watch?v=rbpTUPisA78
1423,시리즈,레이 도노반,드라마,19,7,유명인들의 뒤처리나 골칫거리 문제들을 깨끗하게 처리해주는 남자의 이야기,"리에브 슈라이버, 에디 마산, Dash Mihok",Alex R. Wagner,https://image.tmdb.org/t/p/original/2O4zkZpnqdS0yqxQ6oTL3CZu5p5.png,https://image.tmdb.org/t/p/original/zxftW7ZGVrOCqH2ifuruieCTb5X.jpg,https://www.youtube.com/watch?v=7fN5uBZXpLw
